                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.2564,                0.73182,                 1.0627,                0.74993,                0.55307,                0.60954,                0.36151,                 1.2864,                0.70284,                 1.0749,               0.005941,               0.005941,               0.005941
                    125,                 1.2574,                0.73233,                 1.0638,                0.74976,                0.55275,                0.60997,                0.36143,                 1.2865,                0.70244,                 1.0749,               0.005908,               0.005908,               0.005908
                    126,                 1.2555,                 0.7306,                 1.0615,                0.75021,                0.55226,                0.60999,                0.36156,                 1.2866,                0.70229,                 1.0747,               0.005875,               0.005875,               0.005875
                    127,                 1.2573,                0.73333,                 1.0611,                0.74937,                0.55369,                0.61061,                0.36176,                 1.2868,                0.70224,                 1.0744,               0.005842,               0.005842,               0.005842
                    128,                 1.2563,                0.73006,                 1.0623,                0.75073,                0.55328,                0.61129,                0.36258,                 1.2869,                0.70226,                 1.0745,               0.005809,               0.005809,               0.005809
                    129,                  1.255,                0.73027,                 1.0606,                 0.6435,                0.57759,                0.61168,                0.36264,                 1.2872,                0.70225,                 1.0744,               0.005776,               0.005776,               0.005776
                    130,                 1.2551,                0.73017,                 1.0612,                0.65443,                0.58009,                0.61157,                0.36302,                 1.2873,                0.70219,                 1.0743,               0.005743,               0.005743,               0.005743
                    131,                 1.2557,                0.73015,                 1.0616,                0.68371,                0.56625,                0.61259,                0.36334,                 1.2875,                0.70224,                 1.0742,                0.00571,                0.00571,                0.00571
                    132,                 1.2538,                0.72858,                 1.0595,                0.69407,                0.55844,                0.61299,                0.36395,                 1.2875,                0.70207,                 1.0741,               0.005677,               0.005677,               0.005677
                    133,                 1.2547,                0.72828,                 1.0617,                0.68375,                0.55864,                0.61223,                0.36322,                 1.2876,                0.70187,                 1.0742,               0.005644,               0.005644,               0.005644
                    134,                 1.2546,                0.72813,                 1.0594,                0.68287,                0.55948,                0.61307,                0.36378,                  1.288,                0.70175,                 1.0741,               0.005611,               0.005611,               0.005611
                    135,                 1.2531,                0.72687,                 1.0598,                0.67821,                0.56279,                0.61276,                0.36308,                 1.2884,                0.70181,                 1.0743,               0.005578,               0.005578,               0.005578
                    136,                 1.2525,                0.72534,                 1.0597,                0.67737,                0.56548,                0.61274,                0.36322,                 1.2886,                0.70168,                 1.0743,               0.005545,               0.005545,               0.005545
                    137,                 1.2532,                0.72525,                 1.0597,                0.65208,                0.57936,                0.61312,                0.36353,                 1.2888,                0.70161,                 1.0745,               0.005512,               0.005512,               0.005512
                    138,                 1.2527,                0.72444,                 1.0608,                0.65224,                0.57935,                0.61415,                0.36455,                  1.289,                0.70164,                 1.0746,               0.005479,               0.005479,               0.005479
                    139,                   1.25,                0.72339,                 1.0575,                0.66531,                0.57117,                0.61469,                0.36525,                 1.2889,                 0.7015,                 1.0745,               0.005446,               0.005446,               0.005446
                    140,                 1.2511,                0.72328,                 1.0573,                0.65434,                0.57659,                 0.6141,                0.36541,                 1.2892,                0.70159,                 1.0743,               0.005413,               0.005413,               0.005413
                    141,                 1.2528,                0.72445,                 1.0584,                0.72107,                0.57673,                0.61651,                0.36707,                 1.2892,                0.70165,                 1.0741,                0.00538,                0.00538,                0.00538
                    142,                 1.2511,                 0.7232,                 1.0571,                0.67216,                0.57637,                0.61576,                0.36604,                 1.2894,                0.70158,                  1.074,               0.005347,               0.005347,               0.005347
                    143,                 1.2487,                0.72232,                 1.0571,                0.68514,                0.57042,                0.61528,                0.36676,                 1.2895,                0.70163,                 1.0741,               0.005314,               0.005314,               0.005314
                    144,                   1.25,                0.72049,                 1.0571,                0.72374,                 0.5565,                 0.6157,                0.36681,                 1.2898,                0.70169,                  1.074,               0.005281,               0.005281,               0.005281
                    145,                   1.25,                 0.7213,                 1.0559,                0.71885,                 0.5561,                 0.6158,                0.36565,                 1.2901,                0.70178,                  1.074,               0.005248,               0.005248,               0.005248
                    146,                 1.2497,                0.71947,                 1.0569,                 0.7052,                0.56952,                0.61558,                0.36603,                 1.2902,                0.70163,                 1.0738,               0.005215,               0.005215,               0.005215
                    147,                 1.2471,                0.71924,                 1.0589,                0.68146,                0.57601,                0.61558,                0.36614,                 1.2904,                0.70161,                 1.0741,               0.005182,               0.005182,               0.005182
                    148,                 1.2475,                 0.7186,                 1.0565,                0.67528,                0.57554,                0.61522,                0.36679,                 1.2906,                0.70158,                 1.0742,               0.005149,               0.005149,               0.005149
                    149,                 1.2485,                0.71922,                 1.0575,                0.67634,                0.57547,                 0.6121,                0.36422,                 1.2908,                0.70154,                 1.0743,               0.005116,               0.005116,               0.005116
                    150,                 1.2467,                0.71634,                 1.0557,                0.67543,                 0.5767,                0.61296,                0.36473,                 1.2911,                0.70145,                 1.0743,               0.005083,               0.005083,               0.005083
                    151,                  1.247,                0.71753,                 1.0557,                0.68067,                0.56711,                0.61358,                0.36472,                 1.2911,                 0.7013,                 1.0744,                0.00505,                0.00505,                0.00505
