                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.79644,                0.48916,                0.86071,                0.90585,                0.86856,                0.94123,                0.72026,                0.79471,                0.45812,                0.85758,               0.006337,               0.006337,               0.006337
                    113,                0.79347,                0.48064,                0.86157,                0.91127,                0.86814,                0.94138,                0.72126,                0.79579,                0.45764,                0.85714,               0.006304,               0.006304,               0.006304
                    114,                 0.8127,                0.49456,                0.86367,                0.89274,                0.88242,                0.94183,                0.72204,                0.79674,                0.45771,                0.85727,               0.006271,               0.006271,               0.006271
                    115,                 0.8056,                0.49161,                0.86192,                 0.9001,                 0.8781,                0.94158,                0.72153,                 0.7969,                 0.4595,                0.85721,               0.006238,               0.006238,               0.006238
                    116,                0.80405,                0.48078,                0.85776,                 0.9103,                0.87069,                0.94265,                0.72222,                0.79675,                0.45668,                0.85715,               0.006205,               0.006205,               0.006205
                    117,                0.79923,                0.48055,                0.85736,                0.90281,                0.87599,                0.94297,                0.72236,                0.79456,                0.45276,                0.85704,               0.006172,               0.006172,               0.006172
                    118,                0.80073,                0.48007,                0.85968,                0.90657,                0.87302,                0.94384,                0.72361,                0.79459,                 0.4517,                0.85705,               0.006139,               0.006139,               0.006139
                    119,                0.79053,                0.47562,                0.85511,                0.91582,                 0.8606,                0.94349,                0.72374,                0.79434,                0.45141,                0.85683,               0.006106,               0.006106,               0.006106
                    120,                0.78809,                0.46965,                0.85382,                0.91086,                0.86771,                0.94399,                0.72308,                0.79382,                0.45111,                0.85641,               0.006073,               0.006073,               0.006073
                    121,                0.79022,                0.47356,                0.85436,                0.89818,                0.87915,                0.94393,                0.72432,                0.79422,                0.45077,                 0.8565,                0.00604,                0.00604,                0.00604
                    122,                0.78928,                0.47658,                 0.8532,                0.89497,                 0.8814,                0.94456,                0.72471,                0.79377,                0.45021,                0.85637,               0.006007,               0.006007,               0.006007
                    123,                0.78908,                0.47181,                0.85573,                0.91896,                0.86187,                0.94508,                0.72587,                0.79253,                0.44916,                0.85643,               0.005974,               0.005974,               0.005974
                    124,                0.79132,                0.46979,                0.85842,                0.91413,                0.86877,                0.94556,                0.72716,                0.79241,                0.44784,                0.85644,               0.005941,               0.005941,               0.005941
                    125,                0.78514,                0.46749,                0.85606,                0.90864,                0.87533,                0.94529,                0.72644,                0.79184,                0.44805,                 0.8565,               0.005908,               0.005908,               0.005908
                    126,                0.78347,                0.46365,                0.85219,                0.91182,                0.87375,                 0.9454,                0.72691,                0.79223,                0.44876,                0.85652,               0.005875,               0.005875,               0.005875
                    127,                0.78605,                0.46517,                0.85811,                0.90391,                0.87981,                0.94552,                0.72686,                0.79416,                0.44873,                0.85652,               0.005842,               0.005842,               0.005842
                    128,                0.77353,                0.46065,                0.85644,                0.90564,                0.87954,                 0.9451,                0.72559,                0.79621,                0.44964,                0.85674,               0.005809,               0.005809,               0.005809
                    129,                0.78197,                0.46052,                0.85675,                0.89781,                0.89165,                0.94529,                0.72514,                0.79657,                  0.448,                0.85709,               0.005776,               0.005776,               0.005776
                    130,                0.77713,                0.45993,                0.85494,                0.90017,                0.89226,                0.94611,                 0.7259,                0.79621,                0.44844,                0.85694,               0.005743,               0.005743,               0.005743
                    131,                0.77979,                0.46138,                0.85478,                0.90214,                0.88689,                0.94575,                 0.7253,                0.79596,                0.44904,                0.85703,                0.00571,                0.00571,                0.00571
                    132,                0.77479,                0.45674,                0.85277,                0.90611,                0.88451,                0.94543,                0.72511,                0.79582,                0.44925,                0.85716,               0.005677,               0.005677,               0.005677
                    133,                0.77809,                0.45917,                0.85656,                0.91149,                 0.8824,                0.94566,                0.72492,                0.79507,                0.44911,                0.85702,               0.005644,               0.005644,               0.005644
                    134,                0.77579,                0.45671,                0.85114,                0.91393,                0.87813,                0.94587,                0.72554,                0.79478,                0.44829,                0.85691,               0.005611,               0.005611,               0.005611
                    135,                0.77922,                0.45776,                  0.851,                 0.9144,                 0.8787,                0.94592,                0.72706,                0.79433,                 0.4468,                0.85683,               0.005578,               0.005578,               0.005578
                    136,                 0.7664,                0.44815,                0.85077,                 0.9142,                0.87537,                0.94605,                0.72704,                0.79422,                0.44695,                0.85691,               0.005545,               0.005545,               0.005545
                    137,                0.76886,                0.44336,                0.85535,                0.91438,                0.87826,                0.94592,                0.72662,                0.79442,                0.44685,                0.85699,               0.005512,               0.005512,               0.005512
                    138,                0.76449,                0.44581,                0.85128,                 0.9145,                0.87911,                0.94647,                0.72798,                0.79371,                0.44401,                0.85728,               0.005479,               0.005479,               0.005479
                    139,                0.76563,                  0.445,                0.85175,                0.91512,                0.87941,                0.94664,                0.72824,                0.79429,                0.44324,                0.85709,               0.005446,               0.005446,               0.005446
                    140,                0.76452,                0.44791,                0.84807,                0.91089,                 0.8851,                0.94641,                0.72773,                0.79457,                0.44366,                0.85696,               0.005413,               0.005413,               0.005413
                    141,                0.76789,                0.44581,                0.85206,                0.91131,                 0.8836,                0.94658,                0.72815,                0.79542,                0.44356,                 0.8569,                0.00538,                0.00538,                0.00538
                    142,                0.76094,                0.44163,                0.84898,                0.91084,                0.88355,                0.94679,                0.72825,                 0.7948,                0.44293,                0.85698,               0.005347,               0.005347,               0.005347
                    143,                  0.761,                0.43356,                 0.8486,                0.91123,                0.88664,                0.94694,                0.72847,                 0.7954,                0.44168,                0.85703,               0.005314,               0.005314,               0.005314
                    144,                0.74851,                 0.4315,                0.85045,                0.91204,                0.88449,                 0.9469,                0.72889,                0.79588,                0.44181,                0.85715,               0.005281,               0.005281,               0.005281
                    145,                0.75735,                0.44269,                0.84769,                0.91246,                0.88293,                0.94665,                  0.729,                0.79617,                0.44119,                0.85706,               0.005248,               0.005248,               0.005248
                    146,                0.75947,                 0.4402,                0.85071,                0.91458,                0.88205,                0.94686,                0.72947,                0.79654,                0.44127,                0.85702,               0.005215,               0.005215,               0.005215
                    147,                 0.7523,                0.43255,                0.84609,                 0.9129,                0.88408,                0.94717,                0.73022,                0.79656,                0.44113,                0.85703,               0.005182,               0.005182,               0.005182
                    148,                0.75002,                0.42749,                0.84956,                0.91007,                0.88652,                0.94729,                0.73041,                0.79676,                0.44042,                0.85709,               0.005149,               0.005149,               0.005149
