                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                 1.1877,                0.74741,                0.98959,                0.52653,                0.42525,                0.41313,                0.24163,                 1.4352,                 1.0467,                 1.0668,               0.005974,               0.005974,               0.005974
                    124,                 1.1885,                0.74865,                 0.9898,                0.52761,                0.42416,                0.41282,                0.24137,                 1.4351,                 1.0474,                 1.0669,               0.005941,               0.005941,               0.005941
                    125,                 1.1855,                0.74176,                0.98898,                0.52858,                0.42546,                0.41281,                0.24119,                 1.4346,                  1.047,                 1.0668,               0.005908,               0.005908,               0.005908
                    126,                 1.1873,                0.74714,                 0.9891,                0.52339,                0.42664,                0.41248,                 0.2411,                 1.4346,                 1.0474,                 1.0668,               0.005875,               0.005875,               0.005875
                    127,                 1.1869,                0.74435,                0.98803,                0.52658,                0.42557,                0.41214,                0.24109,                 1.4345,                  1.048,                 1.0667,               0.005842,               0.005842,               0.005842
                    128,                 1.1786,                0.73854,                0.98831,                0.52876,                0.42532,                0.41228,                0.24123,                 1.4344,                 1.0482,                 1.0666,               0.005809,               0.005809,               0.005809
                    129,                 1.1776,                0.73784,                0.98701,                0.52606,                0.42673,                0.41203,                0.24123,                 1.4342,                 1.0485,                 1.0667,               0.005776,               0.005776,               0.005776
                    130,                 1.1797,                0.73464,                0.98681,                0.52624,                0.42657,                0.41207,                0.24137,                 1.4341,                 1.0489,                 1.0667,               0.005743,               0.005743,               0.005743
                    131,                 1.1775,                0.73243,                0.98698,                0.52327,                0.42897,                0.41235,                0.24141,                 1.4339,                 1.0491,                 1.0665,                0.00571,                0.00571,                0.00571
                    132,                 1.1804,                0.73541,                0.98677,                0.52583,                0.42716,                0.41213,                0.24128,                 1.4338,                 1.0492,                 1.0665,               0.005677,               0.005677,               0.005677
                    133,                 1.1738,                0.72889,                0.98678,                0.52644,                0.42754,                0.41215,                0.24141,                  1.434,                 1.0495,                 1.0665,               0.005644,               0.005644,               0.005644
                    134,                 1.1724,                0.72593,                0.98381,                0.52722,                0.42669,                0.41226,                0.24134,                 1.4341,                 1.0501,                 1.0667,               0.005611,               0.005611,               0.005611
                    135,                 1.1691,                 0.7257,                0.98228,                0.52575,                0.42771,                0.41216,                0.24107,                  1.434,                 1.0506,                 1.0667,               0.005578,               0.005578,               0.005578
                    136,                 1.1767,                0.72861,                0.98286,                0.52182,                0.42962,                0.41214,                0.24123,                  1.434,                 1.0509,                 1.0666,               0.005545,               0.005545,               0.005545
                    137,                 1.1709,                0.72311,                0.98382,                0.52148,                0.42932,                0.41219,                0.24128,                 1.4338,                 1.0515,                 1.0666,               0.005512,               0.005512,               0.005512
                    138,                 1.1718,                0.72527,                0.98098,                0.52137,                0.43077,                0.41229,                0.24132,                 1.4338,                  1.052,                 1.0667,               0.005479,               0.005479,               0.005479
                    139,                  1.168,                0.72106,                0.98099,                0.52227,                0.42998,                0.41229,                0.24122,                 1.4337,                 1.0525,                 1.0667,               0.005446,               0.005446,               0.005446
                    140,                 1.1661,                 0.7182,                0.98226,                0.52292,                0.43017,                0.41225,                0.24099,                 1.4338,                 1.0534,                 1.0668,               0.005413,               0.005413,               0.005413
                    141,                  1.163,                0.71602,                0.97863,                0.52185,                0.43043,                0.41222,                0.24101,                 1.4338,                 1.0536,                 1.0666,                0.00538,                0.00538,                0.00538
                    142,                 1.1629,                0.71597,                0.98118,                0.52185,                0.43068,                0.41211,                0.24099,                 1.4339,                 1.0539,                 1.0666,               0.005347,               0.005347,               0.005347
                    143,                  1.163,                0.71425,                0.98059,                0.52266,                 0.4294,                0.41197,                0.24109,                 1.4339,                 1.0539,                 1.0665,               0.005314,               0.005314,               0.005314
                    144,                 1.1576,                0.71113,                0.97824,                0.52352,                0.42862,                0.41215,                0.24092,                 1.4339,                 1.0543,                 1.0665,               0.005281,               0.005281,               0.005281
                    145,                 1.1575,                0.70973,                0.97812,                0.52467,                0.42917,                0.41192,                0.24086,                 1.4337,                 1.0546,                 1.0664,               0.005248,               0.005248,               0.005248
                    146,                 1.1551,                0.70676,                0.97817,                0.52675,                0.42869,                0.41207,                0.24087,                 1.4336,                 1.0548,                 1.0664,               0.005215,               0.005215,               0.005215
